sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
H4_T4_R1	20	50	Up	H4	H8	T4	COI	R1	125	14.1	sample
H5_T4_R1	20	0	Down	H5	H1	T4	COI	R1	500	8.34	sample
H8_T4_R1	20	50	Down	H8	H4	T4	COI	R1	250	9.18	sample
I2_T4_R1	10	25	Up	I2	I6	T4	COI	R1	500	39.2	sample
I5_T4_R1	0	0	Up	I5		T4	COI	R1	500	69.8	sample
I6_T4_R1	10	25	Down	I6	I2	T4	COI	R1	500	8.84	sample
Resv_T4_R1				Resv		T4	COI	R1	500	36	resv
Cont_T4_R1				Cont		T4	COI	R1	500	0	blank
A4_T5_R1	0	50	Up	A4		T5	COI	R1	125	18.6	sample
B1_T5_R1	40	0	Up	B1	B5	T5	COI	R1	500	8.12	sample
B2_T5_R1	10	25	Up	B2	B6	T5	COI	R1	250	27.6	sample
B3_T5_R1	30	100	Up	B3	B7	T5	COI	R1	250	52	sample
B4_T5_R1	40	200	Up	B4	B8	T5	COI	R1	250	10.6	sample
B5_T5_R1	40	0	Down	B5	B1	T5	COI	R1	500	27.6	sample
B6_T5_R1	10	25	Down	B6	B6	T5	COI	R1	500	25	sample
B7_T5_R1	30	100	Down	B7	B7	T5	COI	R1	250	24	sample
B8_T5_R1	40	200	Down	B8	B8	T5	COI	R1	500	30.2	sample
C1_T5_R1	0	0	Up	C1		T5	COI	R1	250	11.8	sample
C2_T5_R1	20	0	Up	C2	C6	T5	COI	R1	500	31	sample
C3_T5_R1	40	200	Up	C3	C7	T5	COI	R1	250	15.8	sample
C6_T5_R1	20	0	Down	C6	C2	T5	COI	R1	500	73.2	sample
C7_T5_R1	40	200	Down	C7	C3	T5	COI	R1	125	40.2	sample
D1_T5_R1	20	50	Up	D1	D5	T5	COI	R1	125	19.2	sample
D2_T5_R1	20	200	Up	D2	D6	T5	COI	R1	125	44.4	sample
D4_T5_R1	0	0	Up	D4		T5	COI	R1	500	26.4	sample
D5_T5_R1	20	50	Down	D5	D5	T5	COI	R1	125	23	sample
D6_T5_R1	20	200	Down	D6	D6	T5	COI	R1	125	32.6	sample
E1_T5_R1	30	100	Up	E1	E5	T5	COI	R1	75	20.2	sample
E2_T5_R1	0	200	Up	E2		T5	COI	R1	125	37.8	sample
E3_T5_R1	40	0	Up	E3	E7	T5	COI	R1	500	29.4	sample
E5_T5_R1	30	100	Down	E5	E1	T5	COI	R1	125	31.8	sample
E7_T5_R1	40	0	Down	E7	E3	T5	COI	R1	500	34.8	sample
F1_T5_R1	40	50	Up	F1	F5	T5	COI	R1	125	26.4	sample
F3_T5_R1	10	100	Up	F3	F7	T5	COI	R1	250	27.2	sample
F5_T5_R1	40	50	Down	F5	F1	T5	COI	R1	125	33	sample
F7_T5_R1	10	100	Down	F7	F3	T5	COI	R1	500	71.6	sample
F8_T5_R1	20	200	Down	F8	F4	T5	COI	R1	250	46.4	sample
G1_T5_R1	40	50	Up	G1	G5	T5	COI	R1	125	56.4	sample
G2_T5_R1	10	100	Up	G2	G6	T5	COI	R1	500	51.2	sample
G3_T5_R1	30	25	Up	G3	G7	T5	COI	R1	500	42.6	sample
G4_T5_R1	30	25	Up	G4	G8	T5	COI	R1	125	14.3	sample
G5_T5_R1	40	50	Down	G5	G1	T5	COI	R1	125	5.48	sample
G6_T5_R1	10	100	Down	G6	G2	T5	COI	R1	500	16.4	sample
G7_T5_R1	30	25	Down	G7	G3	T5	COI	R1	500	24.6	sample
G8_T5_R1	30	25	Down	G8	G4	T5	COI	R1	500	22.8	sample
H1_T5_R1	20	0	Up	H1	H5	T5	COI	R1	500	51.6	sample
H2_T5_R1	0	200	Up	H2		T5	COI	R1	500	37	sample
H4_T5_R1	20	50	Up	H4	H8	T5	COI	R1	125	23.6	sample
H5_T5_R1	20	0	Down	H5	H1	T5	COI	R1	500	16.3	sample
H8_T5_R1	20	50	Down	H8	H4	T5	COI	R1	250	12.8	sample
I2_T5_R1	10	25	Up	I2	I6	T5	COI	R1	500	34	sample
I5_T5_R1	0	0	Up	I5		T5	COI	R1	300	24.8	sample
I6_T5_R1	10	25	Down	I6	I2	T5	COI	R1	500	13.9	sample
Resv_T5_R1				Resv		T5	COI	R1	500	22.8	resv
Cont_T5_R1				Cont		T5	COI	R1	500	0	blank
B4_T1_R1	40	200	Up	B4		T1	COI	R1	500	36.4	sample
B5_T1_R1	40	0	Down	B5		T1	COI	R1	500	13.6	sample
C1_T1_R1	0	0	Up	C1		T1	COI	R1	500	36.2	sample
C2_T1_R1	20	0	Up	C2		T1	COI	R1	500	32	sample
C3_T1_R1	40	200	Up	C3		T1	COI	R1	500	35	sample
C6_T1_R1	20	0	Down	C6		T1	COI	R1	500	52.2	sample
D2_T1_R1	20	200	Up	D2		T1	COI	R1	500	44	sample
D4_T1_R1	0	0	Up	D4		T1	COI	R1	500	50.2	sample
D6_T1_R1	20	200	Down	D6		T1	COI	R1	500	39.6	sample
E1_T1_R1	30	100	Up	E1		T1	COI	R1	500	62	sample
E2_T1_R1	0	200	Up	E2		T1	COI	R1	500	40	sample
E5_T1_R1	30	100	Down	E5		T1	COI	R1	500	35.8	sample
F5_T1_R1	40	50	Down	F5		T1	COI	R1	500	38.6	sample
F7_T1_R1	10	100	Down	F7		T1	COI	R1	500	47.4	sample
F8_T1_R1	20	200	Down	F8		T1	COI	R1	500	21.4	sample
G1_T1_R1	40	50	Up	G1		T1	COI	R1	500	40.6	sample
G4_T1_R1	30	25	Up	G4		T1	COI	R1	500	54.8	sample
G6_T1_R1	10	100	Down	G6		T1	COI	R1	500	25.8	sample
G7_T1_R1	30	25	Down	G7		T1	COI	R1	500	45.6	sample
G8_T1_R1	30	25	Down	G8		T1	COI	R1	500	38	sample
H8_T1_R1	20	50	Down	H8		T1	COI	R1	500	41.4	sample
I5_T1_R1	0	0	Up	I5		T1	COI	R1	500	40.6	sample
I6_T1_R1	10	25	Down	I6		T1	COI	R1	500	47.2	sample
Cont_T1_R1				Cont		T1	COI	R1	500	0	blank
A4_T2_R2	0	50	Up	A4		T2	COI	R2	500	31.8	sample
B1_T2_R2	40	0	Up	B1	B5	T2	COI	R2	500	20.2	sample
B2_T2_R2	10	25	Up	B2	B6	T2	COI	R2	500	40.4	sample
B3_T2_R2	30	100	Up	B3	B7	T2	COI	R2	500	48	sample
B4_T2_R2	40	200	Up	B4	B8	T2	COI	R2	500	55.2	sample
B5_T2_R2	40	0	Down	B5	B1	T2	COI	R2	500	25.4	sample
B6_T2_R2	10	25	Down	B6	B2	T2	COI	R2	500	24	sample
B7_T2_R2	30	100	Down	B7	B3	T2	COI	R2	500	55.6	sample
B8_T2_R2	40	200	Down	B8	B4	T2	COI	R2	500	45.2	sample
C1_T2_R2	0	0	Up	C1		T2	COI	R2	500	28.8	sample
C2_T2_R2	20	0	Up	C2	C6	T2	COI	R2	500	57.8	sample
C3_T2_R2	40	200	Up	C3	C7	T2	COI	R2	100	37.2	sample
C6_T2_R2	20	0	Down	C6	C2	T2	COI	R2	500	44.4	sample
C7_T2_R2	40	200	Down	C7	C3	T2	COI	R2	500	57	sample
D1_T2_R2	20	50	Up	D1	D5	T2	COI	R2	500	49	sample
D2_T2_R2	20	200	Up	D2	D6	T2	COI	R2	200	53	sample
D4_T2_R2	0	0	Up	D4		T2	COI	R2	500	24.8	sample
D5_T2_R2	20	50	Down	D5	D1	T2	COI	R2	500	51.2	sample
D6_T2_R2	20	200	Down	D6	D2	T2	COI	R2	100	25.6	sample
E1_T2_R2	30	100	Up	E1	E5	T2	COI	R2	500	20.4	sample
E2_T2_R2	0	200	Up	E2		T2	COI	R2	100	35.6	sample
E3_T2_R2	40	0	Up	E3	E7	T2	COI	R2	500	25.4	sample
E5_T2_R2	30	100	Down	E5	E1	T2	COI	R2	500	46	sample
E7_T2_R2	40	0	Down	E7	E3	T2	COI	R2	500	47.8	sample
F1_T2_R2	40	50	Up	F1	F5	T2	COI	R2	250	50.6	sample
F3_T2_R2	10	100	Up	F3	F7	T2	COI	R2	250	35	sample
F4_T2_R2	20	200	Up	F4	F8	T2	COI	R2	250	38.2	sample
F5_T2_R2	40	50	Down	F5	F1	T2	COI	R2	500	22.2	sample
F7_T2_R2	10	100	Down	F7	F3	T2	COI	R2	500	22.6	sample
F8_T2_R2	20	200	Down	F8	F4	T2	COI	R2	500	19.1	sample
G2_T2_R2	10	100	Up	G2	G6	T2	COI	R2	250	29.8	sample
G3_T2_R2	30	25	Up	G3	G7	T2	COI	R2	500	25.2	sample
G4_T2_R2	30	25	Up	G4	G8	T2	COI	R2	500	25.8	sample
G7_T2_R2	30	25	Down	G7	G3	T2	COI	R2	500	15.5	sample
G8_T2_R2	30	25	Down	G8	G4	T2	COI	R2	500	47.2	sample
H1_T2_R2	20	0	Up	H1	H5	T2	COI	R2	500	45.4	sample
H2_T2_R2	0	200	Up	H2		T2	COI	R2	500	45.8	sample
H4_T2_R2	20	50	Up	H4	H8	T2	COI	R2	500	27.6	sample
H5_T2_R2	20	0	Down	H5	H1	T2	COI	R2	500	27.6	sample
H7_T2_R2				H7		T2	COI	R2	500	29.6	sample
H8_T2_R2	20	50	Down	H8	H4	T2	COI	R2	500	22.2	sample
I2_T2_R2	10	25	Up	I2	I6	T2	COI	R2	500	19.6	sample
I5_T2_R2	0	0	Up	I5		T2	COI	R2	500	36.4	sample
I6_T2_R2	10	25	Down	I6	I2	T2	COI	R2	500	37.4	sample
Resv_T2_R2				Resv		T2	COI	R2	500	39.8	resv
Cont_T2_R2				Cont		T2	COI	R2	500	0	blank
A4_T3_R2	0	50	Up	A4		T3	COI	R2	200	10.4	sample
B1_T3_R2	40	0	Up	B1	B5	T3	COI	R2	500	79.2	sample
B2_T3_R2	10	25	Up	B2	B6	T3	COI	R2	500	54.6	sample
B3_T3_R2	30	100	Up	B3	B7	T3	COI	R2	250	75.6	sample
B4_T3_R2	40	200	Up	B4	B8	T3	COI	R2	250	35	sample
B5_T3_R2	40	0	Down	B5	B1	T3	COI	R2	500	33.2	sample
B6_T3_R2	10	25	Down	B6	B2	T3	COI	R2	500	55.8	sample
B7_T3_R2	30	100	Down	B7	B3	T3	COI	R2	250	47.6	sample
B8_T3_R2	40	200	Down	B8	B4	T3	COI	R2	500	30.4	sample
C1_T3_R2	0	0	Up	C1		T3	COI	R2	500	20.4	sample
C2_T3_R2	20	0	Up	C2	C6	T3	COI	R2	500	55.8	sample
C3_T3_R2	40	200	Up	C3	C7	T3	COI	R2	120	44.6	sample
C6_T3_R2	20	0	Down	C6	C2	T3	COI	R2	500	60.4	sample
C7_T3_R2	40	200	Down	C7	C3	T3	COI	R2	100	45.2	sample
