sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType
H4_T5_R1	20	50	Up	H4	H8	T5	23S	R1	125	58	sample
H5_T5_R1	20	0	Down	H5	H1	T5	23S	R1	500	24.2	sample
H8_T5_R1	20	50	Down	H8	H4	T5	23S	R1	250	4.26	sample
I2_T5_R1	10	25	Up	I2	I6	T5	23S	R1	500	43	sample
I5_T5_R1	0	0	Up	I5		T5	23S	R1	300	31.2	sample
I6_T5_R1	10	25	Down	I6	I2	T5	23S	R1	500	23.8	sample
Resv_T5_R1				Resv		T5	23S	R1	500	49	resv
Cont_T5_R1				Cont		T5	23S	R1	500	0	blank
B4_T1_R1	40	200	Up	B4		T1	23S	R1	500	47	sample
B5_T1_R1	40	0	Down	B5		T1	23S	R1	500	18	sample
C1_T1_R1	0	0	Up	C1		T1	23S	R1	500	30.4	sample
C2_T1_R1	20	0	Up	C2		T1	23S	R1	500	27.6	sample
C3_T1_R1	40	200	Up	C3		T1	23S	R1	500	56.2	sample
C6_T1_R1	20	0	Down	C6		T1	23S	R1	500	52.4	sample
D2_T1_R1	20	200	Up	D2		T1	23S	R1	500	56.2	sample
D4_T1_R1	0	0	Up	D4		T1	23S	R1	500	58.6	sample
D6_T1_R1	20	200	Down	D6		T1	23S	R1	500	79.4	sample
E1_T1_R1	30	100	Up	E1		T1	23S	R1	500	47.2	sample
E2_T1_R1	0	200	Up	E2		T1	23S	R1	500	44.8	sample
E5_T1_R1	30	100	Down	E5		T1	23S	R1	500	56.8	sample
F5_T1_R1	40	50	Down	F5		T1	23S	R1	500	64	sample
F7_T1_R1	10	100	Down	F7		T1	23S	R1	500	53.6	sample
F8_T1_R1	20	200	Down	F8		T1	23S	R1	500	28.6	sample
G1_T1_R1	40	50	Up	G1		T1	23S	R1	500	37.6	sample
G4_T1_R1	30	25	Up	G4		T1	23S	R1	500	48.2	sample
G6_T1_R1	10	100	Down	G6		T1	23S	R1	500	53.2	sample
G7_T1_R1	30	25	Down	G7		T1	23S	R1	500	40.4	sample
G8_T1_R1	30	25	Down	G8		T1	23S	R1	500	36.6	sample
H8_T1_R1	20	50	Down	H8		T1	23S	R1	500	46.2	sample
I5_T1_R1	0	0	Up	I5		T1	23S	R1	500	23.4	sample
I6_T1_R1	10	25	Down	I6		T1	23S	R1	500	58	sample
Cont_T1_R1				Cont		T1	23S	R1	500	0.592	blank
A4_T2_R2	0	50	Up	A4		T2	23S	R2	500	49.2	sample
B1_T2_R2	40	0	Up	B1	B5	T2	23S	R2	500	42.8	sample
B2_T2_R2	10	25	Up	B2	B6	T2	23S	R2	500	34.2	sample
B3_T2_R2	30	100	Up	B3	B7	T2	23S	R2	500	44.8	sample
B4_T2_R2	40	200	Up	B4	B8	T2	23S	R2	500	64.6	sample
B5_T2_R2	40	0	Down	B5	B1	T2	23S	R2	500	31.8	sample
B6_T2_R2	10	25	Down	B6	B2	T2	23S	R2	500	55.8	sample
B7_T2_R2	30	100	Down	B7	B3	T2	23S	R2	500	59	sample
B8_T2_R2	40	200	Down	B8	B4	T2	23S	R2	500	62.4	sample
C1_T2_R2	0	0	Up	C1		T2	23S	R2	500	23.8	sample
C2_T2_R2	20	0	Up	C2	C6	T2	23S	R2	500	84.8	sample
C3_T2_R2	40	200	Up	C3	C7	T2	23S	R2	100	30.4	sample
C6_T2_R2	20	0	Down	C6	C2	T2	23S	R2	500	27.2	sample
C7_T2_R2	40	200	Down	C7	C3	T2	23S	R2	500	36.8	sample
D1_T2_R2	20	50	Up	D1	D5	T2	23S	R2	500	30.4	sample
D2_T2_R2	20	200	Up	D2	D6	T2	23S	R2	200	20.6	sample
D4_T2_R2	0	0	Up	D4		T2	23S	R2	500	42.8	sample
D5_T2_R2	20	50	Down	D5	D1	T2	23S	R2	500	24.8	sample
D6_T2_R2	20	200	Down	D6	D2	T2	23S	R2	100	43	sample
E1_T2_R2	30	100	Up	E1	E5	T2	23S	R2	500	30	sample
E2_T2_R2	0	200	Up	E2		T2	23S	R2	100	49.6	sample
E3_T2_R2	40	0	Up	E3	E7	T2	23S	R2	500	43.4	sample
E5_T2_R2	30	100	Down	E5	E1	T2	23S	R2	500	53.2	sample
E7_T2_R2	40	0	Down	E7	E3	T2	23S	R2	500	46.6	sample
F1_T2_R2	40	50	Up	F1	F5	T2	23S	R2	250	45.4	sample
F3_T2_R2	10	100	Up	F3	F7	T2	23S	R2	250	43.4	sample
F4_T2_R2	20	200	Up	F4	F8	T2	23S	R2	250	43	sample
F5_T2_R2	40	50	Down	F5	F1	T2	23S	R2	500	36.6	sample
F7_T2_R2	10	100	Down	F7	F3	T2	23S	R2	500	49	sample
F8_T2_R2	20	200	Down	F8	F4	T2	23S	R2	500	34.8	sample
G2_T2_R2	10	100	Up	G2	G6	T2	23S	R2	250	25.8	sample
G3_T2_R2	30	25	Up	G3	G7	T2	23S	R2	500	36.4	sample
G4_T2_R2	30	25	Up	G4	G8	T2	23S	R2	500	38.6	sample
G7_T2_R2	30	25	Down	G7	G3	T2	23S	R2	500	30.8	sample
G8_T2_R2	30	25	Down	G8	G4	T2	23S	R2	500	55	sample
H1_T2_R2	20	0	Up	H1	H5	T2	23S	R2	500	45.2	sample
H2_T2_R2	0	200	Up	H2		T2	23S	R2	500	38.2	sample
H4_T2_R2	20	50	Up	H4	H8	T2	23S	R2	500	48.8	sample
H5_T2_R2	20	0	Down	H5	H1	T2	23S	R2	500	27.8	sample
H7_T2_R2				H7		T2	23S	R2	500	55.2	sample
H8_T2_R2	20	50	Down	H8	H4	T2	23S	R2	500	51.6	sample
I2_T2_R2	10	25	Up	I2	I6	T2	23S	R2	500	38.2	sample
I5_T2_R2	0	0	Up	I5		T2	23S	R2	500	34.8	sample
I6_T2_R2	10	25	Down	I6	I2	T2	23S	R2	500	33.6	sample
Resv_T2_R2				Resv		T2	23S	R2	500	38	resv
Cont_T2_R2				Cont		T2	23S	R2	500	0.842	blank
A4_T3_R2	0	50	Up	A4		T3	23S	R2	200	68.8	sample
B1_T3_R2	40	0	Up	B1	B5	T3	23S	R2	500	60.4	sample
B2_T3_R2	10	25	Up	B2	B6	T3	23S	R2	500	50.6	sample
B3_T3_R2	30	100	Up	B3	B7	T3	23S	R2	250	51.2	sample
B4_T3_R2	40	200	Up	B4	B8	T3	23S	R2	250	56.8	sample
B5_T3_R2	40	0	Down	B5	B1	T3	23S	R2	500	40.6	sample
B6_T3_R2	10	25	Down	B6	B2	T3	23S	R2	500	52.2	sample
B7_T3_R2	30	100	Down	B7	B3	T3	23S	R2	250	55	sample
B8_T3_R2	40	200	Down	B8	B4	T3	23S	R2	500	36.8	sample
C1_T3_R2	0	0	Up	C1		T3	23S	R2	500	21.4	sample
C2_T3_R2	20	0	Up	C2	C6	T3	23S	R2	500	70.8	sample
C3_T3_R2	40	200	Up	C3	C7	T3	23S	R2	120	69	sample
C6_T3_R2	20	0	Down	C6	C2	T3	23S	R2	500	79.4	sample
C7_T3_R2	40	200	Down	C7	C3	T3	23S	R2	100	66.8	sample
D1_T3_R2	20	50	Up	D1	D5	T3	23S	R2	150	63.4	sample
D2_T3_R2	20	200	Up	D2	D6	T3	23S	R2	100	35	sample
D4_T3_R2	0	0	Up	D4		T3	23S	R2	500	32	sample
D5_T3_R2	20	50	Down	D5	D1	T3	23S	R2	500	66.4	sample
D6_T3_R2	20	200	Down	D6	D2	T3	23S	R2	250	61.4	sample
E1_T3_R2	30	100	Up	E1	E5	T3	23S	R2	250	42.8	sample
E2_T3_R2	0	200	Up	E2		T3	23S	R2	250	46.6	sample
E3_T3_R2	40	0	Up	E3	E7	T3	23S	R2	500	49	sample
E5_T3_R2	30	100	Down	E5	E1	T3	23S	R2	250	54	sample
E7_T3_R2	40	0	Down	E7	E3	T3	23S	R2	500	43	sample
F1_T3_R2	40	50	Up	F1	F5	T3	23S	R2	150	47.2	sample
F3_T3_R2	10	100	Up	F3	F7	T3	23S	R2	125	59.4	sample
F4_T3_R2	20	200	Up	F4	F8	T3	23S	R2	500	72.4	sample
F5_T3_R2	40	50	Down	F5	F1	T3	23S	R2	125	42.6	sample
F7_T3_R2	10	100	Down	F7	F3	T3	23S	R2	500	37	sample
F8_T3_R2	20	200	Down	F8	F4	T3	23S	R2	500	23.4	sample
G2_T3_R2	10	100	Up	G2	G6	T3	23S	R2	500	49.8	sample
G3_T3_R2	30	25	Up	G3	G7	T3	23S	R2	500	54.2	sample
G4_T3_R2	30	25	Up	G4	G8	T3	23S	R2	155	44.2	sample
G6_T3_R2	10	100	Down	G6	G2	T3	23S	R2	500	59	sample
G7_T3_R2	30	25	Down	G7	G3	T3	23S	R2	500	66.6	sample
G8_T3_R2	30	25	Down	G8	G4	T3	23S	R2	500	44.8	sample
H1_T3_R2	20	0	Up	H1	H5	T3	23S	R2	500	35.6	sample
H2_T3_R2	0	200	Up	H2		T3	23S	R2	500	72	sample
H4_T3_R2	20	50	Up	H4	H8	T3	23S	R2	100	65	sample
H5_T3_R2	20	0	Down	H5	H1	T3	23S	R2	500	46	sample
H8_T3_R2	20	50	Down	H8	H4	T3	23S	R2	250	52.4	sample
I2_T3_R2	10	25	Up	I2	I6	T3	23S	R2	500	43.6	sample
I5_T3_R2	0	0	Up	I5		T3	23S	R2	500	53.4	sample
I6_T3_R2	10	25	Down	I6	I2	T3	23S	R2	500	49.6	sample
Resv_T3_R2				Resv		T3	23S	R2	500	66.6	resv
Cont_T3_R2				Cont		T3	23S	R2	500	1.18	blank
A4_T4_R2	0	50	Up	A4		T4	23S	R2	250	58.6	sample
B1_T4_R2	40	0	Up	B1	B5	T4	23S	R2	500	41.2	sample
B2_T4_R2	10	25	Up	B2	B6	T4	23S	R2	500	29.8	sample
B3_T4_R2	30	100	Up	B3	B7	T4	23S	R2	250	42	sample
B4_T4_R2	40	200	Up	B4	B8	T4	23S	R2	250	17.8	sample
B5_T4_R2	40	0	Down	B5	B1	T4	23S	R2	500	25.4	sample
B6_T4_R2	10	25	Down	B6	B2	T4	23S	R2	500	173	sample
B7_T4_R2	30	100	Down	B7	B3	T4	23S	R2	250	32.8	sample
