sample_name	flow_rate	nutrient_addition	upstream_downstream	tank	connected_tank	time	marker	replicate	water_filtered	concentration	SampleType			
A4_T4_R1	0	50	Up	A4		T4	18S	R1	250	13.2	sample			
B1_T4_R1	40	0	Up	B1	B5	T4	18S	R1	500	31.2	sample			
B2_T4_R1	10	25	Up	B2	B6	T4	18S	R1	500	30	sample			
B3_T4_R1	30	100	Up	B3	B7	T4	18S	R1	250	65.8	sample			
B4_T4_R1	40	200	Up	B4	B8	T4	18S	R1	250	43.2	sample			
B5_T4_R1	40	0	Down	B5	B1	T4	18S	R1	500	29	sample			
B6_T4_R1	10	25	Down	B6	B2	T4	18S	R1	500	12.4	sample			
B7_T4_R1	30	100	Down	B7	B3	T4	18S	R1	250	37.6	sample			
B8_T4_R1	40	200	Down	B8	B4	T4	18S	R1	500	45	sample			
C1_T4_R1	0	0	Up	C1		T4	18S	R1	125	28.4	sample			
C2_T4_R1	20	0	Up	C2	C6	T4	18S	R1	500	17.2	sample			
C3_T4_R1	40	200	Up	C3	C7	T4	18S	R1	125	63.8	sample			
C6_T4_R1	20	0	Down	C6	C2	T4	18S	R1	500	27	sample			
C7_T4_R1	40	200	Down	C7	C3	T4	18S	R1	100	26.8	sample			
D1_T4_R1	20	50	Up	D1	D5	T4	18S	R1	125	43.6	sample			
D2_T4_R1	20	200	Up	D2	D6	T4	18S	R1	100	31.6	sample			
D4_T4_R1	0	0	Up	D4		T4	18S	R1	500	46	sample			
D5_T4_R1	20	50	Down	D5	D1	T4	18S	R1	100	90.8	sample			
D6_T4_R1	20	200	Down	D6	D2	T4	18S	R1	250	32.6	sample			
E1_T4_R1	30	100	Up	E1	E5	T4	18S	R1	125	32.6	sample			
E2_T4_R1	0	200	Up	E2		T4	18S	R1	200	35.2	sample			
E3_T4_R1	40	0	Up	E3	E7	T4	18S	R1	500	55.8	sample			
E5_T4_R1	30	100	Down	E5	E1	T4	18S	R1	200	39.6	sample			
E7_T4_R1	40	0	Down	E7	E3	T4	18S	R1	500	69	sample			
F1_T4_R1	40	50	Up	F1	F5	T4	18S	R1	100	18.8	sample			
F3_T4_R1	10	100	Up	F3	F7	T4	18S	R1	250	23.6	sample			
F4_T4_R1	20	200	Up	F4	F8	T4	18S	R1	500	36.2	sample			
F5_T4_R1	40	50	Down	F5	F1	T4	18S	R1	250	61.2	sample			
F7_T4_R1	10	100	Down	F7	F3	T4	18S	R1	500	19.3	sample			
F8_T4_R1	20	200	Down	F8	F4	T4	18S	R1	300	51.6	sample			
G1_T4_R1	40	50	Up	G1	G5	T4	18S	R1	150	31.2	sample			
G2_T4_R1	10	100	Up	G2	G6	T4	18S	R1	500	29.2	sample			
G3_T4_R1	30	25	Up	G3	G7	T4	18S	R1	500	25.6	sample			
G4_T4_R1	30	25	Up	G4	G8	T4	18S	R1	125	14.2	sample			
G6_T4_R1	10	100	Down	G6	G2	T4	18S	R1	500	25.4	sample			
G7_T4_R1	30	25	Down	G7	G3	T4	18S	R1	500	17.2	sample			
G8_T4_R1	30	25	Down	G8	G4	T4	18S	R1	500	25.2	sample			
H1_T4_R1	20	0	Up	H1	H5	T4	18S	R1	500	38.8	sample			
H2_T4_R1	0	200	Up	H2		T4	18S	R1	500	79.8	sample			
H4_T4_R1	20	50	Up	H4	H8	T4	18S	R1	125	21.4	sample			
H5_T4_R1	20	0	Down	H5	H1	T4	18S	R1	500	61.6	sample			
H8_T4_R1	20	50	Down	H8	H4	T4	18S	R1	250	25	sample			
I2_T4_R1	10	25	Up	I2	I6	T4	18S	R1	500	50	sample			
I5_T4_R1	0	0	Up	I5		T4	18S	R1	500	30	sample			
I6_T4_R1	10	25	Down	I6	I2	T4	18S	R1	500	17.6	sample			
Resv_T4_R1				Resv		T4	18S	R1	500	39.8	resv			
Cont_T4_R1				Cont		T4	18S	R1	500	2.56	blank			
A4_T5_R1	0	50	Up	A4		T5	18S	R1	125	23.8	sample			
B1_T5_R1	40	0	Up	B1	B5	T5	18S	R1	500	23.8	sample			
B2_T5_R1	10	25	Up	B2	B6	T5	18S	R1	250	21	sample			
B3_T5_R1	30	100	Up	B3	B7	T5	18S	R1	250	54.8	sample			
B4_T5_R1	40	200	Up	B4	B8	T5	18S	R1	250	6.4	sample			
B5_T5_R1	40	0	Down	B5	B1	T5	18S	R1	500	28.2	sample			
B6_T5_R1	10	25	Down	B6	B2	T5	18S	R1	500	26.8	sample			
B7_T5_R1	30	100	Down	B7	B3	T5	18S	R1	250	23.2	sample			
B8_T5_R1	40	200	Down	B8	B4	T5	18S	R1	500	19.4	sample			
C1_T5_R1	0	0	Up	C1		T5	18S	R1	250	42.4	sample			
C2_T5_R1	20	0	Up	C2	C6	T5	18S	R1	500	38.6	sample			
C3_T5_R1	40	200	Up	C3	C7	T5	18S	R1	250	44.4	sample			
C6_T5_R1	20	0	Down	C6	C2	T5	18S	R1	500	36.2	sample			
C7_T5_R1	40	200	Down	C7	C3	T5	18S	R1	125	41	sample			
D1_T5_R1	20	50	Up	D1	D5	T5	18S	R1	125	23.4	sample			
D2_T5_R1	20	200	Up	D2	D6	T5	18S	R1	125	30.6	sample			
D4_T5_R1	0	0	Up	D4		T5	18S	R1	500	31	sample			
D5_T5_R1	20	50	Down	D5	D1	T5	18S	R1	125	19.5	sample			
D6_T5_R1	20	200	Down	D6	D2	T5	18S	R1	125	73.4	sample			
E1_T5_R1	30	100	Up	E1	E5	T5	18S	R1	75	13	sample			
E2_T5_R1	0	200	Up	E2		T5	18S	R1	125	33.8	sample			
E3_T5_R1	40	0	Up	E3	E7	T5	18S	R1	500	13.1	sample			
E5_T5_R1	30	100	Down	E5	E1	T5	18S	R1	125	32.4	sample			
E7_T5_R1	40	0	Down	E7	E3	T5	18S	R1	500	32.6	sample			
F1_T5_R1	40	50	Up	F1	F5	T5	18S	R1	125	44	sample			
F3_T5_R1	10	100	Up	F3	F7	T5	18S	R1	250	34.8	sample			
F5_T5_R1	40	50	Down	F5	F1	T5	18S	R1	125	35.4	sample			
F7_T5_R1	10	100	Down	F7	F3	T5	18S	R1	500	50.8	sample			
F8_T5_R1	20	200	Down	F8	F4	T5	18S	R1	250	44.6	sample			
G1_T5_R1	40	50	Up	G1	G5	T5	18S	R1	125	38.8	sample			
G2_T5_R1	10	100	Up	G2	G6	T5	18S	R1	500	36	sample			
G3_T5_R1	30	25	Up	G3	G7	T5	18S	R1	500	43.2	sample			
G4_T5_R1	30	25	Up	G4	G8	T5	18S	R1	125	35.2	sample			
G5_T5_R1	40	50	Down	G5	G1	T5	18S	R1	125	33.6	sample			
